Creating OBB and QBB count file...
ultralytics/utils/callbacks/comet.py: OBB=3, QBB=3
ultralytics/utils/callbacks/raytune.py: OBB=0, QBB=0
ultralytics/utils/callbacks/tensorboard.py: OBB=0, QBB=0
ultralytics/utils/callbacks/base.py: OBB=0, QBB=0
ultralytics/utils/callbacks/hub.py: OBB=0, QBB=0
ultralytics/utils/callbacks/wb.py: OBB=0, QBB=0
ultralytics/utils/autodevice.py: OBB=0, QBB=0
ultralytics/data/split_dota.py: OBB=0, QBB=0
ultralytics/data/converter.py: OBB=7, QBB=4
ultralytics/data/utils.py: OBB=7, QBB=7
ultralytics/data/augment.py: OBB=8, QBB=7
ultralytics/data/__init__.py: OBB=0, QBB=0
ultralytics/data/loaders.py: OBB=0, QBB=0
ultralytics/data/split.py: OBB=0, QBB=0
ultralytics/data/build.py: OBB=0, QBB=0
ultralytics/data/dataset.py: OBB=10, QBB=6
ultralytics/data/base.py: OBB=0, QBB=0
ultralytics/data/annotator.py: OBB=0, QBB=0
ultralytics/nn/__init__.py: OBB=0, QBB=0
ultralytics/nn/text_model.py: OBB=0, QBB=0
ultralytics/nn/modules/head.py: OBB=12, QBB=9
ultralytics/nn/modules/utils.py: OBB=0, QBB=0
ultralytics/nn/modules/block.py: OBB=0, QBB=0
ultralytics/nn/modules/__init__.py: OBB=2, QBB=2
ultralytics/nn/modules/conv.py: OBB=0, QBB=0
ultralytics/nn/modules/transformer.py: OBB=0, QBB=0
ultralytics/nn/modules/activation.py: OBB=0, QBB=0
ultralytics/nn/autobackend.py: OBB=0, QBB=0
ultralytics/nn/tasks.py: OBB=26, QBB=24
ultralytics/engine/model.py: OBB=1, QBB=1
ultralytics/engine/__init__.py: OBB=0, QBB=0
ultralytics/engine/exporter.py: OBB=13, QBB=5
ultralytics/engine/results.py: OBB=83, QBB=64
ultralytics/engine/predictor.py: OBB=0, QBB=0
ultralytics/engine/tuner.py: OBB=0, QBB=0
ultralytics/engine/trainer.py: OBB=2, QBB=2
ultralytics/engine/validator.py: OBB=2, QBB=2
ultralytics/solutions/trackzone.py: OBB=0, QBB=0
ultralytics/solutions/security_alarm.py: OBB=0, QBB=0
ultralytics/solutions/region_counter.py: OBB=0, QBB=0
ultralytics/solutions/queue_management.py: OBB=0, QBB=0
ultralytics/solutions/instance_segmentation.py: OBB=0, QBB=0
ultralytics/solutions/solutions.py: OBB=7, QBB=5
